500325,,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10,INE002A01018,Integrated Oil & Gas,Equity
532540,,TCS,TATA CONSULTANCY SERVICES LTD.,Active,A ,1,INE467B01029,IT Consulting & Software,Equity
500180,,HDFCBANK,HDFC Bank Ltd,Active,A ,1,INE040A01034,Banks,Equity
500209,,INFY,INFOSYS LTD.,Active,A ,5,INE009A01021,IT Consulting & Software,Equity
500696,,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1,INE030A01027,Personal Products,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2,INE001A01036,Housing Finance ,Equity
532174,,ICICIBANK,ICICI BANK LTD.,Active,A ,2,INE090A01021,Banks,Equity
500247,,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5,INE237A01028,Banks,Equity
500112,,SBIN,STATE BANK OF INDIA,Active,A ,1,INE062A01020,Banks,Equity
532454,,BHARTIARTL,BHARTI AIRTEL LTD.,Active,A ,5,INE397D01024,Telecom Services,Equity
500034,,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Finance (including NBFCs),Equity
532281,,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A ,2,INE860A01027,IT Consulting & Software,Equity
500875,,ITC,ITC LTD.,Active,A ,1,INE154A01025,Cigarettes-Tobacco Products,Equity
500820,,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1,INE021A01026,Furniture-Furnishing-Paints,Equity
507685,,WIPRO,WIPRO LTD.,Active,A ,2,INE075A01022,IT Consulting & Software,Equity
532500,,MARUTI,MARUTI SUZUKI INDIA LTD.,Active,A ,5,INE585B01010,Cars & Utility Vehicles,Equity
532215,,AXISBANK,AXIS BANK LTD.,Active,A ,2,INE238A01034,Banks,Equity
500510,,LT,LARSEN & TOUBRO LTD.,Active,A ,2,INE018A01030,Construction & Engineering,Equity
532538,,ULTRACEMCO,ULTRATECH CEMENT LTD.,Active,A ,10,INE481G01011,Cement & Cement Products,Equity
540376,,DMART,Avenue Supermarts Ltd,Active,A ,10,INE192R01011,Department Stores,Equity
541450,,ADANIGREEN,Adani Green Energy Ltd,Active,A ,10,INE364U01010,Heavy Electrical Equipment,Equity
500790,,NESTLEIND,NESTLE INDIA LTD.,Active,A ,10,INE239A01016,Packaged Foods,Equity
532921,,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A ,2,INE742F01042,Marine Port & Services,Equity
532978,,BAJAJFINSV,BAJAJ FINSERV LTD.,Active,A ,5,INE918I01018,Holding Companies,Equity
524715,,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,Active,A ,1,INE044A01036,Pharmaceuticals,Equity
500228,,JSWSTEEL,JSW STEEL LTD.,Active,A ,1,INE019A01038,Iron & Steel/Interm.Products,Equity
500114,,TITAN,Titan Company Limited,Active,A ,1,INE280A01028,Other Apparels & Accessories,Equity
540777,,HDFCLIFE,HDFC Life Insurance Company Ltd,Active,A ,10,INE795G01014,Life Insurance,Equity
512599,,ADANIENT,ADANI ENTERPRISES LTD.,Active,A ,1,INE423A01024,Comm.Trading  & Distribution,Equity
500312,,ONGC,Oil and Natural Gas Corporation Ltd,Active,A ,5,INE213A01029,Exploration & Production,Equity
500188,,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2,INE267A01025,Zinc,Equity
542066,,ATGL,Adani Total Gas Ltd,Active,A ,1,INE399L01023,Integrated Oil & Gas,Equity
500387,,SHREECEM,SHREE CEMENT LTD.,Active,A ,10,INE070A01015,Cement & Cement Products,Equity
532898,,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,Active,A ,10,INE752E01010,Electric Utilities,Equity
539254,,ADANITRANS,Adani Transmission Ltd,Active,A ,10,INE931S01010,Electric Utilities,Equity
500570,,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2,INE155A01022,Commercial Vehicles,Equity
532977,,BAJAJ-AUTO,BAJAJ AUTO LTD.,Active,A ,10,INE917I01010,2/3 Wheelers,Equity
532755,,TECHM,TECH MAHINDRA LTD.,Active,A ,5,INE669C01036,IT Consulting & Software,Equity
500055,,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2,INE824B01021,Iron & Steel/Interm.Products,Equity
532555,,NTPC,NTPC LTD.,Active,A ,10,INE733E01010,Electric Utilities,Equity
532488,,DIVISLAB,DIVI&#39;S LABORATORIES LTD.,Active,A ,2,INE361B01024,Pharmaceuticals,Equity
500096,,DABUR,DABUR INDIA LTD.,Active,A ,1,INE016A01026,Personal Products,Equity
500520,,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5,INE101A01026,Cars & Utility Vehicles,Equity
500331,,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1,INE318A01026,Specialty Chemicals,Equity
500300,,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2,INE047A01021,Cement & Cement Products,Equity
500547,,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10,INE029A01011,Refineries/ Petro-Products,Equity
500825,,BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,1,INE216A01030,Packaged Foods,Equity
540719,,SBILIFE,SBI Life Insurance Company Ltd,Active,A ,10,INE123W01016,Life Insurance,Equity
543066,,SBICARD,SBI Cards and Payment Services Ltd,Active,A ,10,INE018E01016,Finance (including NBFCs),Equity
500295,,VEDL,Vedanta Limited,Active,A ,1,INE205A01025,Aluminium,Equity
